Student ID,Strain,Treatment,ColonyCount,HaloLawn
B3,899,Strep,0,N
B3,899,His,0,Y
B3,712,Strep,0,N
B3,712,His,0,Y
B3,881,Strep,0,Y
B3,881,His,0,Y
B3,TA102,Strep,0,Y
B3,TA102,His,0,Y
B4,421,Strep,0,Y
B4,421,His,0,Y
B4,899,Strep,0,N
B4,899,His,0,Y
B4,712,Strep,0,N
B4,712,His,0,Y
B4,881,Strep,0,Y
B4,881,His,0,Y
B4,TA102,Strep,0,Y
B4,TA102,His,0,Y
B5,421,Strep,0,NA
B5,421,His,0,Y
B5,899,Strep,0,N
B5,899,His,0,Y
B5,712,Strep,0,N
B5,712,His,0,Y
B5,881,Strep,0,Y
B5,881,His,0,Y
B5,TA102,Strep,0,Y
B5,TA102,His,0,Y
B6,421,Strep,0,Y
B6,421,His,0,Y
B6,899,Strep,0,Y
B6,899,His,0,Y
B6,712,Strep,0,N
B6,712,His,0,Y
B6,881,Strep,0,Y
B6,881,His,0,Y
B6,TA102,Strep,0,Y
B6,TA102,His,0,Y
B7,421,Strep,0,Y
B7,421,His,0,Y
B7,899,Strep,0,NA
B7,899,His,0,Y
B7,712,Strep,0,N
B7,712,His,0,Y
B7,881,Strep,0,Y
B7,881,His,0,Y
B7,TA102,Strep,0,Y
B7,TA102,His,0,Y
B8,421,Strep,0,Y
B8,421,His,0,Y
B8,899,Strep,0,N
B8,899,His,0,Y
B8,712,Strep,0,N
B8,712,His,0,Y
B8,881,Strep,0,Y
B8,881,His,0,Y
B8,TA102,Strep,0,Y
B8,TA102,His,0,Y
B9,421,Strep,0,Y
B9,421,His,0,Y
B9,899,Strep,0,N
B9,899,His,0,Y
B9,712,Strep,0,N
B9,712,His,0,Y
B9,881,Strep,0,Y
B9,881,His,0,Y
B9,TA102,Strep,0,Y
B9,TA102,His,0,Y
